Year,RMS dB,Start Time
2019 (Pre-Covid),102.8,19:25
2019 (Pre-Covid),105,19:35
2019 (Pre-Covid),101.4,19:45
2019 (Pre-Covid),101,19:55
2019 (Pre-Covid),101.2,20:05
2019 (Pre-Covid),109.4,20:15
2019 (Pre-Covid),101.6,20:25
2019 (Pre-Covid),103.3,20:35
2019 (Pre-Covid),101.2,20:45
2019 (Pre-Covid),104.3,20:55
2019 (Pre-Covid),101.5,21:05
2019 (Pre-Covid),101.5,21:15
2019 (Pre-Covid),101.8,21:25
2019 (Pre-Covid),101.3,21:35
2019 (Pre-Covid),103.2,21:45
2019 (Pre-Covid),103.9,21:55
2019 (Pre-Covid),107.5,22:05
2019 (Pre-Covid),106.1,22:15
2019 (Pre-Covid),106.7,22:25
2019 (Pre-Covid),107.1,22:35
2019 (Pre-Covid),107.9,22:45
2019 (Pre-Covid),115,22:55
2019 (Pre-Covid),107.9,23:05
2019 (Pre-Covid),106.8,23:15
2019 (Pre-Covid),114.9,23:25
2019 (Pre-Covid),107,23:35
2019 (Pre-Covid),105.8,23:45
2019 (Pre-Covid),105.3,23:55
2020 (Covid),101.8,10:59
2020 (Covid),102.7,11:10
2020 (Covid),107.4,11:20
2020 (Covid),100.8,11:30
2020 (Covid),101.3,11:40
2020 (Covid),102.2,11:50
2020 (Covid),99.1,12:00
2020 (Covid),99.6,12:11
2020 (Covid),98.2,12:20
2020 (Covid),98.3,12:30
2020 (Covid),97.7,12:40
2020 (Covid),99,12:50
2020 (Covid),97.4,13:00
2020 (Covid),97.1,13:10
2020 (Covid),100.8,13:20
2020 (Covid),97.5,13:30
2020 (Covid),97.5,13:40
2020 (Covid),101.3,13:50
2020 (Covid),97.9,14:00
2020 (Covid),98.3,14:10
2020 (Covid),98.9,14:20
2020 (Covid),99.5,14:30
2020 (Covid),97.8,14:40
2020 (Covid),101.7,14:50
2020 (Covid),98.6,15:00
2020 (Covid),99.5,15:10
2020 (Covid),99.4,15:20
2020 (Covid),99,15:30
2020 (Covid),103.8,15:40
2020 (Covid),104.7,15:50
2020 (Covid),98.8,16:00
2020 (Covid),98.7,16:10
2020 (Covid),99.2,16:20
2020 (Covid),98.6,16:30
2020 (Covid),98.4,16:40
2020 (Covid),98.5,16:50
2020 (Covid),99.7,17:00
2020 (Covid),98.6,17:10
2020 (Covid),102.5,17:20
2020 (Covid),99.1,17:30
2020 (Covid),104.6,17:40
2020 (Covid),99.8,17:50
2020 (Covid),98.5,18:00
2020 (Covid),98.3,18:10
2020 (Covid),99.1,18:20
2020 (Covid),99.5,18:30
2020 (Covid),99.7,18:40
2020 (Covid),99.5,18:50
2020 (Covid),99.3,19:00
2020 (Covid),99.6,19:10
2020 (Covid),100.4,19:20
2020 (Covid),104.3,19:30
2020 (Covid),101.8,19:40
2020 (Covid),100.9,19:50
2020 (Covid),108.2,20:00
2020 (Covid),107.2,20:10
2020 (Covid),108.8,20:20
2020 (Covid),108.2,20:30
2020 (Covid),107.6,20:40
2020 (Covid),108.4,20:50
2020 (Covid),114.9,21:00
2020 (Covid),112.3,21:10
2020 (Covid),109.3,21:20
2020 (Covid),99.1,21:30
2020 (Covid),99.1,21:40
2020 (Covid),102.8,21:50
2020 (Covid),99.4,22:00
2020 (Covid),99.1,22:10
2020 (Covid),99.3,22:20
2020 (Covid),99.5,22:30
2020 (Covid),99.7,22:40
2020 (Covid),99.7,22:40
2020 (Covid),99.9,23:00
2020 (Covid),100.1,23:10
2020 (Covid),100.3,23:20
2020 (Covid),100.4,23:30
2020 (Covid),100.5,23:40
2020 (Covid),100.6,23:50
2020 (Covid),100.2,0:00
2020 (Covid),99.3,0:10
2020 (Covid),98.9,0:20
2020 (Covid),98.7,0:30
2020 (Covid),98.6,0:40
2020 (Covid),98.3,0:50
2020 (Covid),98.4,1:00
2020 (Covid),102.2,1:10
2020 (Covid),98.1,1:20
2020 (Covid),98.5,1:30
2020 (Covid),98.2,1:40
2020 (Covid),98.1,1:50
2020 (Covid),98.2,2:00
2020 (Covid),98.2,2:10
2020 (Covid),98,2:20
2020 (Covid),97.9,2:30
2020 (Covid),97.8,2:40
2020 (Covid),97.8,2:50
2020 (Covid),97.9,3:00
2020 (Covid),98.2,3:10
2020 (Covid),98.2,3:20
2020 (Covid),98.2,3:30
2020 (Covid),98.4,3:40
2020 (Covid),98.4,3:50
2020 (Covid),98.5,4:00
2020 (Covid),98.5,4:10
2020 (Covid),100.6,4:20
2020 (Covid),98.5,4:30
2020 (Covid),98.6,4:40
2020 (Covid),98.5,4:50
2020 (Covid),98.6,5:00
